epoch,train_accuracy,val_accuracy,train_loss,val_loss
0,0.1930246502161026,0.19354838132858276,2.161288261413574,2.1282272338867188
1,0.19753457605838776,0.19354838132858276,2.1386334896087646,2.132014751434326
2,0.2005411833524704,0.19354838132858276,2.1292154788970947,2.10825777053833
3,0.20414912700653076,0.265077143907547,2.1145272254943848,2.1117217540740967
4,0.21407096087932587,0.26788219809532166,2.099294662475586,2.102451801300049
5,0.20535176992416382,0.09256661683320999,2.1004748344421387,2.63403058052063
6,0.2104630172252655,0.09256661683320999,2.0999770164489746,2.240356683731079
7,0.22098617255687714,0.09256661683320999,2.0707664489746094,2.924588203430176
8,0.22248947620391846,0.1949509084224701,2.0779943466186523,2.1415200233459473
9,0.21858087182044983,0.09396914392709732,2.0775070190429688,2.2315726280212402
10,0.21407096087932587,0.260869562625885,2.069950580596924,2.0494461059570312
11,0.2212868332862854,0.09537167102098465,2.0556492805480957,2.2124087810516357
12,0.2254960983991623,0.269284725189209,2.0552902221679688,2.007343053817749
13,0.22339145839214325,0.09537167102098465,2.0557727813720703,2.2501673698425293
14,0.2254960983991623,0.09256661683320999,2.0545129776000977,2.8158936500549316
15,0.22730006277561188,0.25385695695877075,2.046515464782715,2.018022060394287
16,0.22669874131679535,0.09256661683320999,2.0457565784454346,3.217595338821411
17,0.22519542276859283,0.09396914392709732,2.044125556945801,2.4776759147644043
18,0.22519542276859283,0.2594670355319977,2.047513961791992,2.0350348949432373
19,0.2312086522579193,0.2664796710014343,2.0276339054107666,2.0158863067626953
20,0.2212868332862854,0.2734922766685486,2.034734010696411,2.0167574882507324
21,0.2312086522579193,0.2468443214893341,2.030639886856079,2.0593225955963135
22,0.23060733079910278,0.2706872224807739,2.0295653343200684,1.978285312652588
23,0.23000600934028625,0.12201963365077972,2.0262272357940674,2.186767816543579
24,0.2312086522579193,0.10098176449537277,2.027987480163574,2.2946407794952393
25,0.2321106493473053,0.09396914392709732,2.024683952331543,2.639950752258301
26,0.23421527445316315,0.12201963365077972,2.0165507793426514,2.1971051692962646
27,0.2345159351825714,0.09396914392709732,2.012651205062866,2.6059606075286865
28,0.2387252002954483,0.13604487478733063,2.0019237995147705,2.1987438201904297
29,0.2378232181072235,0.1444600224494934,2.0083539485931396,2.161829948425293
